sample-id	species	group
#q2:types	categorical	categorical
AFe10	Poultry	Feces
AFe1	Poultry	Feces
AFe13	Poultry	Feces
AFe14	Poultry	Feces
AFe17	Poultry	Feces
AFe20	Poultry	Feces
AFe2	Poultry	Feces
AFe25	Poultry	Feces
AFe27	Poultry	Feces
AFe31	Poultry	Feces
AFe3	Poultry	Feces
AFe32	Poultry	Feces
AFe33	Poultry	Feces
AFe36	Poultry	Feces
AFe37	Poultry	Feces
AFe39	Poultry	Feces
AFe4	Poultry	Feces
AFe7	Poultry	Feces
AFe8	Poultry	Feces
AFe9	Poultry	Feces
BFe10	Beef	Feces
BFe11	Beef	Feces
BFe1	Beef	Feces
BFe13	Beef	Feces
BFe14	Beef	Feces
BFe16	Beef	Feces
BFe17	Beef	Feces
BFe20	Beef	Feces
BFe2	Beef	Feces
BFe23	Beef	Feces
BFe26	Beef	Feces
BFe27	Beef	Feces
BFe28	Beef	Feces
BFe29	Beef	Feces
BFe3	Beef	Feces
BFe32	Beef	Feces
BFe33	Beef	Feces
BFe35	Beef	Feces
BFe37	Beef	Feces
BFe39	Beef	Feces
BFe8	Beef	Feces
PFe10	Pork	Feces
PFe12	Pork	Feces
PFe13	Pork	Feces
PFe15	Pork	Feces
PFe16	Pork	Feces
PFe21	Pork	Feces
PFe22	Pork	Feces
PFe23	Pork	Feces
PFe24	Pork	Feces
PFe26	Pork	Feces
PFe28	Pork	Feces
PFe30	Pork	Feces
PFe31	Pork	Feces
PFe35	Pork	Feces
PFe37	Pork	Feces
PFe38	Pork	Feces
PFe39	Pork	Feces
PFe40	Pork	Feces
PFe5	Pork	Feces
PFe8	Pork	Feces
AMe11	Poultry	Meat
AMe1	Poultry	Meat
AMe12	Poultry	Meat
AMe13	Poultry	Meat
AMe14	Poultry	Meat
AMe16	Poultry	Meat
Ame17	Poultry	Meat
AMe18	Poultry	Meat
AMe2	Poultry	Meat
AMe4	Poultry	Meat
AMe5	Poultry	Meat
AMe6	Poultry	Meat
AMe7	Poultry	Meat
AMe8	Poultry	Meat
BMe10	Beef	Meat
BMe11	Beef	Meat
BMe1	Beef	Meat
BMe12	Beef	Meat
BMe13	Beef	Meat
BMe14	Beef	Meat
BMe16	Beef	Meat
BMe17	Beef	Meat
BMe18	Beef	Meat
BMe19	Beef	Meat
BMe20	Beef	Meat
BMe8	Beef	Meat
BMe9	Beef	Meat
PMe10	Pork	Meat
PMe11	Pork	Meat
PMe1	Pork	Meat
PMe12	Pork	Meat
PMe13	Pork	Meat
PMe14	Pork	Meat
PMe15	Pork	Meat
PMe16	Pork	Meat
PMe17	Pork	Meat
PMe18	Pork	Meat
PMe19	Pork	Meat
PMe2	Pork	Meat
PMe6	Pork	Meat
PMe7	Pork	Meat
PMe8	Pork	Meat
PMe9	Pork	Meat
P7NC	Pork	Meat
