	faith_pd
AFe1	72.0966126835
AFe10	54.423405623499995
AFe13	51.5429465475
AFe14	62.972873399499996
AFe17	69.71795768150001
AFe2	86.9650102855
AFe20	91.05240983350001
AFe25	91.62574150249999
AFe27	87.5807447015
AFe3	69.56253235850001
AFe31	74.69005503150001
AFe32	90.78163581449999
AFe33	106.4142601215
AFe36	90.2598223595
AFe37	69.7231552275
AFe39	85.7825511795
AFe4	65.06624004550001
AFe7	68.4190312375
AFe8	68.5104181845
AFe9	59.9644558105
AMe1	36.0080491585
AMe11	95.47203808550002
AMe13	186.21208268050003
AMe14	131.8265119965
AMe16	165.93108409399997
AMe18	45.6580671405
AMe2	161.52443004850002
AMe5	107.50177324900001
AMe6	87.0808747065
AMe7	153.75043149400003
AMe8	160.7037141555
BFe1	70.35677635449998
BFe10	58.8394538785
BFe11	60.6174838405
BFe13	76.8903603265
BFe14	99.6687748055
BFe16	81.48659066449999
BFe17	93.8800218965
BFe2	67.12513330649999
BFe20	83.8400948165
BFe23	97.7515895155
BFe26	112.26988502849998
BFe27	98.9689554515
BFe29	92.59875470749999
BFe3	57.766717415500004
BFe32	72.5176130375
BFe33	77.72817094349999
BFe35	111.43733433249999
BFe39	96.9301653765
BFe8	68.5102123585
BMe10	107.70837434949999
BMe14	97.21143895450001
BMe18	121.5934448125
BMe2	156.34809943349998
BMe4	134.7609744225
BMe5	144.43139346800004
BMe9	94.74755873149998
P7NC	117.48102328850001
PFe12	99.17831845650001
PFe13	66.58827800649999
PFe16	66.4121685695
PFe21	81.67881800549999
PFe22	81.0117543895
PFe23	76.3427271645
PFe24	79.1969635275
PFe26	71.50018904849999
PFe28	71.0008705415
PFe30	79.4698024485
PFe31	81.72171560449999
PFe35	116.3842438885
PFe37	116.77430112949997
PFe38	110.8209204215
PFe39	98.85666350150002
PFe40	116.7615767525
PFe5	78.13777124949999
PFe8	103.03825286949998
PMe1	60.052247307500004
PMe10	547.1772591109999
PMe11	150.34699861750002
PMe13	89.90802992549999
PMe14	63.4454484565
PMe15	87.8557874805
PMe16	129.6812393555
PMe18	88.3626378775
PMe19	163.88410386800004
PMe2	112.0064078795
PMe7	166.74055899450002
PMe9	96.88234849450001
