	observed_otus
AFe1	1130
AFe10	972
AFe13	908
AFe14	1101
AFe17	1229
AFe2	1354
AFe20	1545
AFe25	1679
AFe27	1527
AFe3	1263
AFe31	1288
AFe32	1576
AFe33	1837
AFe36	1468
AFe37	1072
AFe39	1234
AFe4	1190
AFe7	1280
AFe8	1180
AFe9	1129
AMe1	429
AMe11	719
AMe13	975
AMe14	1523
AMe16	1123
AMe18	560
AMe2	1056
AMe5	830
AMe6	1553
AMe7	1039
AMe8	500
BFe1	1311
BFe10	1064
BFe11	1107
BFe13	1418
BFe14	1760
BFe16	1466
BFe17	1697
BFe2	1314
BFe20	1533
BFe23	1739
BFe26	1940
BFe27	1656
BFe29	1402
BFe3	1012
BFe32	1392
BFe33	1288
BFe35	1976
BFe39	1580
BFe8	1379
BMe10	701
BMe14	307
BMe18	1514
BMe2	572
BMe4	931
BMe5	1396
BMe9	833
P7NC	1956
PFe12	1680
PFe13	1040
PFe16	1138
PFe21	1385
PFe22	1454
PFe23	1261
PFe24	1453
PFe26	1194
PFe28	1196
PFe30	1386
PFe31	1398
PFe35	2027
PFe37	2052
PFe38	1845
PFe39	1752
PFe40	2050
PFe5	1338
PFe8	1837
PMe1	1473
PMe10	1576
PMe11	1235
PMe13	1337
PMe14	629
PMe15	2079
PMe16	1090
PMe18	948
PMe19	427
PMe2	2329
PMe7	1404
PMe9	1195
